INDEX,PROVIDER_NAME,MONTH,BILLING_COMPL_PCT,NOTE_COMPL_PCT,DOCUMENTATION_COMPL_PCT
139,Cheryl Fletcher,February,0.750,0.870,0.81
239,Cheryl Fletcher,March,0.820,0.840,0.83
339,Cheryl Fletcher,April,0.830,0.820,0.825
439,Cheryl Fletcher,May,0.990,0.870,0.93
539,Cheryl Fletcher,June,0.890,0.900,0.895
639,Cheryl Fletcher,July,0.900,0.880,0.89
739,Cheryl Fletcher,August,0.840,0.800,0.82
839,Cheryl Fletcher,September,0.890,0.880,0.885
939,Cheryl Fletcher,October,0.940,0.810,0.875
1039,Cheryl Fletcher,November,0.920,0.820,0.87
1139,Cheryl Fletcher,December,0.780,0.820,0.8
21,Cindy Crane,January,0.860,0.790,0.825
121,Cindy Crane,February,0.930,0.790,0.86
221,Cindy Crane,March,0.930,0.850,0.89
321,Cindy Crane,April,0.880,0.840,0.86
421,Cindy Crane,May,0.970,0.870,0.92
521,Cindy Crane,June,0.860,0.850,0.855
621,Cindy Crane,July,0.860,0.770,0.815
721,Cindy Crane,August,0.870,0.840,0.855
821,Cindy Crane,September,0.950,0.810,0.88
921,Cindy Crane,October,0.920,0.770,0.845
1021,Cindy Crane,November,0.820,0.870,0.845
1121,Cindy Crane,December,0.860,0.850,0.855
35,Claire Williams,January,0.790,0.770,0.78
135,Claire Williams,February,0.770,0.900,0.835
235,Claire Williams,March,1.000,0.880,0.94
335,Claire Williams,April,0.830,0.820,0.825
435,Claire Williams,May,0.880,0.880,0.88
535,Claire Williams,June,0.800,0.810,0.805
635,Claire Williams,July,0.910,0.770,0.84
735,Claire Williams,August,0.880,0.760,0.82
835,Claire Williams,September,0.830,0.890,0.86
935,Claire Williams,October,0.990,0.760,0.875
1035,Claire Williams,November,0.830,0.890,0.86
1135,Claire Williams,December,0.790,0.900,0.845
99,Clara Barnes,January,0.820,0.800,0.81
199,Clara Barnes,February,0.840,0.850,0.845
299,Clara Barnes,March,0.870,0.760,0.815
399,Clara Barnes,April,0.830,0.840,0.835
499,Clara Barnes,May,0.910,0.840,0.875
599,Clara Barnes,June,0.760,0.890,0.825
699,Clara Barnes,July,0.780,0.860,0.82
799,Clara Barnes,August,0.920,0.820,0.87
899,Clara Barnes,September,0.800,0.830,0.815
999,Clara Barnes,October,0.780,0.850,0.815
1099,Clara Barnes,November,0.930,0.790,0.86
1199,Clara Barnes,December,0.790,0.790,0.79
38,Clifton Navarro,January,0.790,0.770,0.78
138,Clifton Navarro,February,0.820,0.760,0.79
238,Clifton Navarro,March,0.840,0.880,0.86
338,Clifton Navarro,April,0.980,0.760,0.87
438,Clifton Navarro,May,0.850,0.760,0.805
538,Clifton Navarro,June,0.960,0.870,0.915
638,Clifton Navarro,July,0.950,0.840,0.895
738,Clifton Navarro,August,0.880,0.880,0.88
838,Clifton Navarro,September,0.800,0.900,0.85
938,Clifton Navarro,October,0.820,0.810,0.815
1038,Clifton Navarro,November,1.000,0.840,0.92
1138,Clifton Navarro,December,0.920,0.790,0.855
56,Constance Lamb,January,0.890,0.770,0.83
156,Constance Lamb,February,0.840,0.840,0.84
256,Constance Lamb,March,0.950,0.860,0.905
356,Constance Lamb,April,0.780,0.830,0.805
456,Constance Lamb,May,0.920,0.750,0.835
556,Constance Lamb,June,0.780,0.810,0.795
656,Constance Lamb,July,0.880,0.760,0.82
756,Constance Lamb,August,0.790,0.790,0.79
856,Constance Lamb,September,0.880,0.750,0.815
956,Constance Lamb,October,0.860,0.770,0.815
1056,Constance Lamb,November,0.910,0.890,0.9
1156,Constance Lamb,December,0.750,0.870,0.81
49,Corey Gates,January,0.920,0.840,0.88
149,Corey Gates,February,0.920,0.800,0.86
249,Corey Gates,March,0.920,0.900,0.91
349,Corey Gates,April,0.920,0.810,0.865
449,Corey Gates,May,0.860,0.890,0.875
549,Corey Gates,June,0.940,0.750,0.845
649,Corey Gates,July,0.900,0.850,0.875
749,Corey Gates,August,0.810,0.810,0.81
849,Corey Gates,September,0.920,0.750,0.835
949,Corey Gates,October,0.930,0.840,0.885
1049,Corey Gates,November,0.960,0.830,0.895
1149,Corey Gates,December,0.840,0.780,0.81
43,Courtney Cain,January,0.780,0.880,0.83
143,Courtney Cain,February,0.860,0.780,0.82
243,Courtney Cain,March,0.950,0.770,0.86
343,Courtney Cain,April,0.970,0.840,0.905
443,Courtney Cain,May,0.860,0.860,0.86
543,Courtney Cain,June,0.900,0.890,0.895
643,Courtney Cain,July,0.980,0.890,0.935
743,Courtney Cain,August,0.850,0.880,0.865
843,Courtney Cain,September,0.790,0.750,0.77
943,Courtney Cain,October,0.980,0.850,0.915
1043,Courtney Cain,November,0.800,0.790,0.795
1143,Courtney Cain,December,0.780,0.770,0.775
17,Darryl Hopkins,January,0.930,0.820,0.875
117,Darryl Hopkins,February,0.770,0.760,0.765
217,Darryl Hopkins,March,0.970,0.820,0.895
317,Darryl Hopkins,April,0.770,0.880,0.825
417,Darryl Hopkins,May,0.800,0.840,0.82
517,Darryl Hopkins,June,0.770,0.850,0.81
617,Darryl Hopkins,July,0.960,0.900,0.93
717,Darryl Hopkins,August,0.910,0.890,0.9
817,Darryl Hopkins,September,0.960,0.890,0.925
917,Darryl Hopkins,October,0.980,0.750,0.865
1017,Darryl Hopkins,November,0.810,0.750,0.78
1117,Darryl Hopkins,December,0.880,0.810,0.845
74,Darryl Pena,January,1.000,0.840,0.92
174,Darryl Pena,February,0.800,0.890,0.845
274,Darryl Pena,March,0.870,0.900,0.885
374,Darryl Pena,April,0.980,0.780,0.88
474,Darryl Pena,May,0.850,0.800,0.825
574,Darryl Pena,June,0.960,0.830,0.895
674,Darryl Pena,July,0.840,0.870,0.855
774,Darryl Pena,August,0.930,0.850,0.89
874,Darryl Pena,September,0.940,0.860,0.9
974,Darryl Pena,October,0.930,0.860,0.895
1074,Darryl Pena,November,0.780,0.790,0.785
1174,Darryl Pena,December,0.950,0.870,0.91
23,Dawn Gardner,January,0.870,0.790,0.83
123,Dawn Gardner,February,0.800,0.820,0.81
223,Dawn Gardner,March,0.750,0.800,0.775
323,Dawn Gardner,April,0.750,0.780,0.765
423,Dawn Gardner,May,0.900,0.800,0.85
523,Dawn Gardner,June,0.780,0.860,0.82
623,Dawn Gardner,July,0.900,0.780,0.84
723,Dawn Gardner,August,0.990,0.810,0.9
823,Dawn Gardner,September,0.910,0.770,0.84
923,Dawn Gardner,October,0.920,0.830,0.875
1023,Dawn Gardner,November,0.820,0.770,0.795
1123,Dawn Gardner,December,1.000,0.880,0.94
4,Deborah Schwartz,January,0.900,0.880,0.89
104,Deborah Schwartz,February,0.780,0.800,0.79
204,Deborah Schwartz,March,0.950,0.870,0.91
304,Deborah Schwartz,April,0.970,0.850,0.91
404,Deborah Schwartz,May,0.910,0.770,0.84
504,Deborah Schwartz,June,0.800,0.880,0.84
604,Deborah Schwartz,July,0.790,0.790,0.79
704,Deborah Schwartz,August,0.940,0.850,0.895
804,Deborah Schwartz,September,0.790,0.830,0.81
904,Deborah Schwartz,October,0.800,0.760,0.78
1004,Deborah Schwartz,November,0.760,0.850,0.805
1104,Deborah Schwartz,December,0.780,0.790,0.785
50,Delia Whitaker,January,0.890,0.790,0.84
150,Delia Whitaker,February,0.920,0.900,0.91
250,Delia Whitaker,March,0.800,0.810,0.805
350,Delia Whitaker,April,0.780,0.870,0.825
450,Delia Whitaker,May,0.750,0.760,0.755
550,Delia Whitaker,June,0.940,0.880,0.91
650,Delia Whitaker,July,0.890,0.890,0.89
750,Delia Whitaker,August,0.800,0.810,0.805
850,Delia Whitaker,September,0.840,0.900,0.87
950,Delia Whitaker,October,0.970,0.820,0.895
1050,Delia Whitaker,November,0.880,0.810,0.845
1150,Delia Whitaker,December,0.850,0.900,0.875
80,Desiree Gregg,January,0.760,0.860,0.81
180,Desiree Gregg,February,0.750,0.800,0.775
280,Desiree Gregg,March,0.950,0.830,0.89
380,Desiree Gregg,April,0.930,0.860,0.895
480,Desiree Gregg,May,0.980,0.780,0.88
580,Desiree Gregg,June,0.870,0.800,0.835
680,Desiree Gregg,July,0.800,0.770,0.785
780,Desiree Gregg,August,0.850,0.900,0.875
880,Desiree Gregg,September,0.890,0.900,0.895
980,Desiree Gregg,October,0.950,0.790,0.87
1080,Desiree Gregg,November,0.820,0.890,0.855
1180,Desiree Gregg,December,0.920,0.820,0.87
70,Dustin Webster,January,0.990,0.830,0.91
170,Dustin Webster,February,0.760,0.860,0.81
270,Dustin Webster,March,1.000,0.840,0.92
370,Dustin Webster,April,0.970,0.830,0.9
470,Dustin Webster,May,0.750,0.800,0.775
570,Dustin Webster,June,1.000,0.880,0.94
670,Dustin Webster,July,0.770,0.850,0.81
770,Dustin Webster,August,0.750,0.790,0.77
870,Dustin Webster,September,0.960,0.790,0.875
970,Dustin Webster,October,0.890,0.800,0.845
1070,Dustin Webster,November,0.910,0.850,0.88
1170,Dustin Webster,December,0.910,0.750,0.83
95,Dwight McCullough,January,0.990,0.830,0.91
195,Dwight McCullough,February,0.880,0.820,0.85
295,Dwight McCullough,March,0.850,0.780,0.815
395,Dwight McCullough,April,0.910,0.840,0.875
495,Dwight McCullough,May,0.750,0.890,0.82
595,Dwight McCullough,June,0.880,0.760,0.82
695,Dwight McCullough,July,0.970,0.870,0.92
795,Dwight McCullough,August,0.750,0.860,0.805
895,Dwight McCullough,September,0.900,0.810,0.855
995,Dwight McCullough,October,0.920,0.790,0.855
1095,Dwight McCullough,November,0.790,0.800,0.795
1195,Dwight McCullough,December,0.850,0.800,0.825
36,Earl Haas,January,0.770,0.880,0.825
136,Earl Haas,February,0.790,0.860,0.825
236,Earl Haas,March,0.930,0.780,0.855
336,Earl Haas,April,0.900,0.850,0.875
436,Earl Haas,May,0.910,0.870,0.89
536,Earl Haas,June,0.890,0.900,0.895
636,Earl Haas,July,0.970,0.760,0.865
736,Earl Haas,August,0.900,0.900,0.9
836,Earl Haas,September,0.920,0.830,0.875
936,Earl Haas,October,0.840,0.900,0.87
1036,Earl Haas,November,0.780,0.860,0.82
1136,Earl Haas,December,0.940,0.820,0.88
59,Eileen Rivas,January,0.770,0.810,0.79
159,Eileen Rivas,February,0.750,0.890,0.82
259,Eileen Rivas,March,0.970,0.810,0.89
359,Eileen Rivas,April,0.980,0.750,0.865
459,Eileen Rivas,May,0.870,0.900,0.885
559,Eileen Rivas,June,0.850,0.850,0.85
659,Eileen Rivas,July,0.880,0.790,0.835
759,Eileen Rivas,August,0.860,0.810,0.835
859,Eileen Rivas,September,0.880,0.790,0.835
959,Eileen Rivas,October,0.940,0.800,0.87
1059,Eileen Rivas,November,0.970,0.870,0.92
1159,Eileen Rivas,December,0.980,0.830,0.905
2,Elizabeth Paul,January,0.880,0.820,0.85
102,Elizabeth Paul,February,0.970,0.860,0.915
202,Elizabeth Paul,March,0.760,0.850,0.805
302,Elizabeth Paul,April,0.940,0.810,0.875
402,Elizabeth Paul,May,0.930,0.880,0.905
502,Elizabeth Paul,June,0.820,0.800,0.81
602,Elizabeth Paul,July,1.000,0.820,0.91
702,Elizabeth Paul,August,1.000,0.750,0.875
802,Elizabeth Paul,September,0.980,0.840,0.91
902,Elizabeth Paul,October,0.940,0.860,0.9
1002,Elizabeth Paul,November,0.870,0.760,0.815
1102,Elizabeth Paul,December,0.800,0.870,0.835
82,Ella McCann,January,0.810,0.760,0.785
182,Ella McCann,February,0.940,0.900,0.92
282,Ella McCann,March,0.990,0.760,0.875
382,Ella McCann,April,0.850,0.850,0.85
482,Ella McCann,May,0.770,0.900,0.835
582,Ella McCann,June,0.910,0.880,0.895
682,Ella McCann,July,0.920,0.820,0.87
782,Ella McCann,August,0.810,0.830,0.82
882,Ella McCann,September,0.820,0.880,0.85
982,Ella McCann,October,0.920,0.900,0.91
1082,Ella McCann,November,0.750,0.890,0.82
1182,Ella McCann,December,0.750,0.750,0.75
28,Elsie Bates,January,1.000,0.770,0.885
128,Elsie Bates,February,0.930,0.760,0.845
228,Elsie Bates,March,0.900,0.790,0.845
328,Elsie Bates,April,0.770,0.820,0.795
428,Elsie Bates,May,0.830,0.800,0.815
528,Elsie Bates,June,0.860,0.820,0.84
628,Elsie Bates,July,0.900,0.820,0.86
728,Elsie Bates,August,1.000,0.880,0.94
828,Elsie Bates,September,0.900,0.830,0.865
928,Elsie Bates,October,0.890,0.830,0.86
1028,Elsie Bates,November,0.800,0.840,0.82
1128,Elsie Bates,December,0.770,0.850,0.81
64,Erica Dickinson,January,0.850,0.840,0.845
164,Erica Dickinson,February,0.890,0.850,0.87
264,Erica Dickinson,March,0.770,0.800,0.785
364,Erica Dickinson,April,0.970,0.890,0.93
464,Erica Dickinson,May,0.840,0.850,0.845
564,Erica Dickinson,June,0.820,0.840,0.83
664,Erica Dickinson,July,0.990,0.790,0.89
764,Erica Dickinson,August,0.890,0.830,0.86
864,Erica Dickinson,September,0.770,0.880,0.825
964,Erica Dickinson,October,0.800,0.900,0.85
1064,Erica Dickinson,November,0.850,0.820,0.835
1164,Erica Dickinson,December,0.910,0.840,0.875
57,Everett Barr,January,0.920,0.770,0.845
157,Everett Barr,February,0.990,0.820,0.905
257,Everett Barr,March,0.930,0.850,0.89
357,Everett Barr,April,0.880,0.800,0.84
457,Everett Barr,May,0.940,0.830,0.885
557,Everett Barr,June,0.770,0.820,0.795
657,Everett Barr,July,0.920,0.770,0.845
757,Everett Barr,August,0.870,0.850,0.86
857,Everett Barr,September,0.980,0.870,0.925
957,Everett Barr,October,0.900,0.770,0.835
1057,Everett Barr,November,1.000,0.820,0.91
1157,Everett Barr,December,0.850,0.880,0.865
73,Flora Hagan,January,0.780,0.840,0.81
173,Flora Hagan,February,0.990,0.760,0.875
273,Flora Hagan,March,0.840,0.750,0.795
373,Flora Hagan,April,0.970,0.830,0.9
473,Flora Hagan,May,0.780,0.900,0.84
573,Flora Hagan,June,0.860,0.760,0.81
673,Flora Hagan,July,0.950,0.840,0.895
773,Flora Hagan,August,0.960,0.860,0.91
873,Flora Hagan,September,1.000,0.830,0.915
973,Flora Hagan,October,0.830,0.810,0.82
1073,Flora Hagan,November,0.770,0.870,0.82
1173,Flora Hagan,December,0.940,0.820,0.88
1,Francis Davis,January,0.990,0.810,0.9
101,Francis Davis,February,0.780,0.750,0.765
201,Francis Davis,March,0.900,0.840,0.87
301,Francis Davis,April,0.940,0.780,0.86
401,Francis Davis,May,0.970,0.870,0.92
501,Francis Davis,June,0.910,0.830,0.87
601,Francis Davis,July,0.770,0.870,0.82
701,Francis Davis,August,0.930,0.800,0.865
801,Francis Davis,September,0.870,0.750,0.81
901,Francis Davis,October,0.940,0.840,0.89
1001,Francis Davis,November,0.960,0.880,0.92
1101,Francis Davis,December,0.890,0.840,0.865
24,Gabriel Goodman,January,0.840,0.810,0.825
124,Gabriel Goodman,February,0.900,0.820,0.86
224,Gabriel Goodman,March,0.970,0.750,0.86
324,Gabriel Goodman,April,1.000,0.870,0.935
424,Gabriel Goodman,May,0.880,0.850,0.865
524,Gabriel Goodman,June,0.860,0.760,0.81
624,Gabriel Goodman,July,0.900,0.820,0.86
724,Gabriel Goodman,August,0.860,0.860,0.86
824,Gabriel Goodman,September,0.880,0.810,0.845
924,Gabriel Goodman,October,0.990,0.890,0.94
1024,Gabriel Goodman,November,0.840,0.850,0.845
1124,Gabriel Goodman,December,0.910,0.770,0.84
30,Gail Henson,January,0.960,0.860,0.91
130,Gail Henson,February,0.920,0.830,0.875
230,Gail Henson,March,0.870,0.900,0.885
330,Gail Henson,April,0.780,0.850,0.815
430,Gail Henson,May,0.770,0.830,0.8
530,Gail Henson,June,0.920,0.800,0.86
630,Gail Henson,July,0.840,0.860,0.85
730,Gail Henson,August,0.810,0.810,0.81
830,Gail Henson,September,0.810,0.760,0.785
930,Gail Henson,October,0.920,0.840,0.88
1030,Gail Henson,November,0.770,0.860,0.815
1130,Gail Henson,December,1.000,0.830,0.915
13,Glen Rice,January,0.930,0.840,0.885
113,Glen Rice,February,0.860,0.810,0.835
213,Glen Rice,March,0.780,0.880,0.83
313,Glen Rice,April,0.930,0.750,0.84
413,Glen Rice,May,0.880,0.860,0.87
513,Glen Rice,June,0.790,0.860,0.825
613,Glen Rice,July,0.930,0.880,0.905
713,Glen Rice,August,0.770,0.860,0.815
813,Glen Rice,September,0.850,0.820,0.835
913,Glen Rice,October,0.910,0.750,0.83
1013,Glen Rice,November,0.930,0.770,0.85
1113,Glen Rice,December,0.760,0.760,0.76
54,Guy Graves,January,0.900,0.810,0.855
154,Guy Graves,February,0.900,0.770,0.835
254,Guy Graves,March,0.780,0.760,0.77
354,Guy Graves,April,0.990,0.800,0.895
454,Guy Graves,May,0.780,0.850,0.815
554,Guy Graves,June,0.810,0.840,0.825
654,Guy Graves,July,0.760,0.850,0.805
754,Guy Graves,August,0.920,0.890,0.905
854,Guy Graves,September,0.770,0.750,0.76
954,Guy Graves,October,0.880,0.880,0.88
1054,Guy Graves,November,0.980,0.770,0.875
1154,Guy Graves,December,0.810,0.880,0.845
14,Howard Randolph,January,0.770,0.750,0.76
114,Howard Randolph,February,0.900,0.780,0.84
214,Howard Randolph,March,0.800,0.840,0.82
314,Howard Randolph,April,0.880,0.860,0.87
414,Howard Randolph,May,0.780,0.840,0.81
514,Howard Randolph,June,0.790,0.880,0.835
614,Howard Randolph,July,0.940,0.890,0.915
714,Howard Randolph,August,0.780,0.770,0.775
814,Howard Randolph,September,0.780,0.760,0.77
914,Howard Randolph,October,0.870,0.780,0.825
1014,Howard Randolph,November,0.790,0.800,0.795
1114,Howard Randolph,December,0.920,0.850,0.885
76,Ignacio Griffin,January,0.910,0.880,0.895
176,Ignacio Griffin,February,0.770,0.800,0.785
276,Ignacio Griffin,March,0.940,0.870,0.905
376,Ignacio Griffin,April,0.800,0.860,0.83
476,Ignacio Griffin,May,1.000,0.830,0.915
576,Ignacio Griffin,June,0.790,0.900,0.845
676,Ignacio Griffin,July,0.750,0.770,0.76
776,Ignacio Griffin,August,0.780,0.760,0.77
876,Ignacio Griffin,September,0.940,0.810,0.875
976,Ignacio Griffin,October,0.930,0.890,0.91
